Construction (F),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average Regular Earnings (Euro),43822,45085,42864,43101,42053,41195,40585,41265,40977,41938
Average Overtime Earnings (Euro),232,124,182,337,353,283,215,197,202,213
Average Total Earnings excluding Irregular (Euro),44054,45209,43046,43438,42406,41478,40801,41461,41179,42151
Average Irregular Earnings (Euro),1064,963,1129,1157,1213,1044,502,479,464,523
Average Total Earnings (Euro),45119,46172,44175,44594,43619,42522,41303,41940,41643,42674
Average Other Labour Costs (Euro),3803,3699,3613,3933,4300,4259,4212,4341,4469,4556
Average Total Labour Costs (Euro),48922,49871,47788,48528,47919,46781,45514,46282,46112,47230
Average Hourly Regular Earnings  (Euro),33.78,35.74,34.88,35.4,34.43,33.83,33.39,33.6,33.29,33.97
Average Hourly Overtime Earnings (Euro),0.18,0.1,0.15,0.28,0.29,0.23,0.18,0.16,0.16,0.17
Average Hourly Total Earnings excluding Irregular (Euro),33.96,35.84,35.03,35.67,34.72,34.06,33.57,33.76,33.46,34.14
Average Hourly Irregular Earnings (Euro),0.82,0.76,0.92,0.95,0.99,0.86,0.41,0.39,0.38,0.42
Average Hourly Total Earnings (Euro),34.78,36.6,35.95,36.62,35.71,34.92,33.98,34.15,33.84,34.56
Average Regular Weekly Paid Hours (Hours),24.9,24.2,23.6,23.4,23.4,23.3,23.3,23.6,23.6,23.7
Average Overtime Weekly Paid Hours (Hours),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Average Total Weekly Paid Hours (Hours),24.9,24.3,23.6,23.4,23.5,23.4,23.4,23.6,23.7,23.7
Registered Employment  (Number),133600,131400,131000,125900,127500,130500,134700,136400,139600,147600
Human health and social work activities (Q),,,,,,,,,,
Average Regular Earnings (Euro),34641,35901,34533,34031,33586,32934,32416,32583,32741,33471
Average Overtime Earnings (Euro),1865,1705,1585,1470,1397,1188,1107,1202,1228,1244
Average Total Earnings excluding Irregular (Euro),36507,37606,36117,35501,34982,34122,33522,33785,33969,34715
Average Irregular Earnings (Euro),1953,2003,1899,1792,1747,1643,1492,1466,1535,1598
Average Total Earnings (Euro),38459,39610,38017,37293,36730,35765,35015,35251,35505,36313
Average Other Labour Costs (Euro),4281,4490,3859,3573,3788,3647,3752,3878,3907,4034
Average Total Labour Costs (Euro),42740,44100,41876,40866,40518,39412,38766,39128,39412,40347
Average Hourly Regular Earnings  (Euro),21.6,22.56,21.51,21.48,21.23,21,20.62,20.37,20.41,20.74
Average Hourly Overtime Earnings (Euro),1.16,1.07,0.99,0.93,0.88,0.76,0.7,0.75,0.77,0.77
Average Hourly Total Earnings excluding Irregular (Euro),22.77,23.64,22.5,22.41,22.12,21.76,21.32,21.12,21.17,21.51
Average Hourly Irregular Earnings (Euro),1.22,1.26,1.18,1.13,1.1,1.05,0.95,0.92,0.96,0.99
Average Hourly Total Earnings (Euro),23.98,24.89,23.68,23.54,23.22,22.81,22.27,22.04,22.13,22.5
Average Regular Weekly Paid Hours (Hours),29.7,29.6,29.9,29.6,29.5,29.4,29.5,30,30,30.2
Average Overtime Weekly Paid Hours (Hours),1.1,1,0.9,0.9,0.9,0.8,0.7,0.8,0.8,0.8
Average Total Weekly Paid Hours (Hours),30.8,30.6,30.9,30.5,30.4,30.2,30.2,30.8,30.9,31
Registered Employment  (Number),207700,210000,214100,217600,217700,221900,224700,230100,233800,238800
Industry (B to E),,,,,,,,,,
Average Regular Earnings (Euro),36785,37414,37713,37556,37932,37986,38730,39066,39253,39867
Average Overtime Earnings (Euro),2212,1859,1949,1950,2034,2146,2405,2288,2395,2427
Average Total Earnings excluding Irregular (Euro),38997,39272,39662,39506,39966,40132,41135,41354,41648,42294
Average Irregular Earnings (Euro),2318,2406,2501,2325,2505,2395,2973,2649,2900,2910
Average Total Earnings (Euro),41314,41678,42163,41831,42471,42527,44108,44003,44548,45204
Average Other Labour Costs (Euro),8678,9792,8907,8543,9031,9369,9559,9475,9986,9785
Average Total Labour Costs (Euro),49992,51471,51070,50374,51502,51896,53667,53478,54534,54989
Average Hourly Regular Earnings  (Euro),18.42,19.45,19.49,19.31,19.5,19.45,19.56,19.59,19.64,20.04
Average Hourly Overtime Earnings (Euro),1.11,0.97,1.01,1,1.05,1.1,1.21,1.15,1.2,1.22
Average Hourly Total Earnings excluding Irregular (Euro),19.53,20.41,20.49,20.31,20.54,20.55,20.77,20.74,20.84,21.26
Average Hourly Irregular Earnings (Euro),1.16,1.25,1.29,1.2,1.29,1.23,1.5,1.33,1.45,1.46
Average Hourly Total Earnings (Euro),20.69,21.66,21.79,21.51,21.83,21.78,22.27,22.07,22.29,22.72
Average Regular Weekly Paid Hours (Hours),36.7,35.6,35.8,36,35.9,35.9,36.4,36.6,36.6,36.5
Average Overtime Weekly Paid Hours (Hours),1.8,1.4,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.7
Average Total Weekly Paid Hours (Hours),38.4,37,37.2,37.4,37.4,37.5,38.1,38.3,38.4,38.3
Registered Employment  (Number),229800,206600,195200,191900,187300,196400,197800,209000,218800,226600
"Financial, insurance and real estate activities (K,L)",,,,,,,,,,
Average Regular Earnings (Euro),45472,45355,47026,46606,47033,47216,47372,48054,49226,50465
Average Overtime Earnings (Euro),708,509,510,615,713,675,659,594,610,578
Average Total Earnings excluding Irregular (Euro),46181,45864,47536,47221,47746,47892,48031,48648,49836,51043
Average Irregular Earnings (Euro),7321,3669,3908,3791,3365,3900,5491,4229,4730,4591
Average Total Earnings (Euro),53502,49533,51444,51012,51111,51791,53522,52877,54566,55634
Average Other Labour Costs (Euro),13321,14386,13079,11899,13165,13665,13470,13206,13269,14247
Average Total Labour Costs (Euro),66824,63919,64523,62912,64276,65457,66993,66083,67835,69881
Average Hourly Regular Earnings  (Euro),25.85,26.12,26.86,26.77,26.56,26.51,26.27,26.67,26.83,27.96
Average Hourly Overtime Earnings (Euro),0.4,0.29,0.29,0.35,0.4,0.38,0.37,0.33,0.33,0.32
Average Hourly Total Earnings excluding Irregular (Euro),26.25,26.41,27.15,27.12,26.96,26.89,26.63,27,27.17,28.28
Average Hourly Irregular Earnings (Euro),4.16,2.11,2.23,2.18,1.9,2.19,3.04,2.35,2.58,2.54
Average Hourly Total Earnings (Euro),30.41,28.52,29.39,29.3,28.86,29.07,29.68,29.34,29.75,30.82
Average Regular Weekly Paid Hours (Hours),33.4,33.1,33.4,33.2,33.7,33.9,34.3,34.3,34.9,34.4
Average Overtime Weekly Paid Hours (Hours),0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Average Total Weekly Paid Hours (Hours),33.8,33.4,33.7,33.5,34.1,34.3,34.7,34.7,35.3,34.7
Registered Employment  (Number),96200,94900,88900,87200,87700,87000,89100,90000,93300,92300
"Arts, entertainment, recreation and other service activities (R,S)",,,,,,,,,,
Average Regular Earnings (Euro),24451,23368,23690,22452,22822,23904,23344,23241,23071,23138
Average Overtime Earnings (Euro),623,531,571,509,403,359,375,416,360,409
Average Total Earnings excluding Irregular (Euro),25074,23899,24261,22961,23225,24262,23719,23657,23431,23548
Average Irregular Earnings (Euro),764,690,793,527,769,949,915,976,1148,1015
Average Total Earnings (Euro),25837,24589,25054,23488,23994,25211,24634,24633,24580,24563
Average Other Labour Costs (Euro),3697,3695,3257,3357,3421,3854,3843,3879,4030,3731
Average Total Labour Costs (Euro),29534,28284,28311,26846,27415,29065,28477,28511,28609,28293
Average Hourly Regular Earnings  (Euro),15.43,15.41,15.8,15.38,15.47,15.97,15.93,16.14,15.81,15.74
Average Hourly Overtime Earnings (Euro),0.39,0.35,0.38,0.35,0.27,0.24,0.26,0.29,0.25,0.28
Average Hourly Total Earnings excluding Irregular (Euro),15.82,15.76,16.18,15.73,15.75,16.21,16.19,16.43,16.06,16.02
Average Hourly Irregular Earnings (Euro),0.48,0.46,0.53,0.36,0.52,0.63,0.62,0.68,0.79,0.69
Average Hourly Total Earnings (Euro),16.3,16.21,16.71,16.09,16.27,16.84,16.81,17.11,16.84,16.71
Average Regular Weekly Paid Hours (Hours),29.8,28.6,28.1,27.5,27.9,28.3,27.7,27.1,27.5,27.7
Average Overtime Weekly Paid Hours (Hours),0.7,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.6
Average Total Weekly Paid Hours (Hours),30.5,29.2,28.8,28.1,28.4,28.8,28.2,27.7,28.1,28.3
Registered Employment  (Number),53100,47800,45900,47500,47800,46600,45400,49700,53200,53900
